ID,Name,Sex,Age,Height,Weight
274,Mehdi Fahim Abdul Al-Sada,M,24,184,70
275,Bashir Abdullah Abdul Aziz,M,22,180,73
276,Chairil Anwar Abdul Aziz,M,24,163,61
277,Shaimaa Abdul Aziz,F,19,160,53
278,Mohamed Abdul Hadj,M,25,,
279,Jefri Kiko Bolkiah Abdul Hakeem,M,23,172,90
280,Mohamed Abdul Hamid,M,19,175,55
281,S. Abdul Hamid,M,,,
282,Hadi Abdul Jabbar,M,30,180,117.5
283,Mohamed Abed Abdul Jawad,M,22,169,65
284,Anouar Abdul Kader,M,27,,
285,Talal Hassoun Abdul Kader,M,,,82
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23,169,60
287,Taha Abdul Karim,M,20,156,59
288,Masoud Abdul Khamis Al-Rahman,M,17,176,68
289,Abdul Haji Abdul Latheef,M,17,168,54
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14,,
291,Majed Ahmed Abdul Mohamed,M,26,172,70
292,Firouz Abdul Mohammadian,M,34,178,74
293,Hussam Abdul Rahman,M,30,175,80
294,Mohamed Ghulom Abdul Rahman,M,,175,85
295,Suleman Abdul Rahman,M,29,174,55
296,Zambrose Abdul Rahman,M,24,173,64
297,Lala Abdul Rashid,M,38,169,91
298,Muhammad Abdul Rashid,M,23,181,72
299,Dana Abdul Razak (Hussain-),F,22,163,56
300,A. Abdul Razzak,M,,178,70
301,Mohamed Abdul Razzak,M,,177,68
302,Muhammad Abdul Razzaq,M,,,
303,Hazim Abdul Ridha,M,,160,52
304,Rauf Abdul Seoud,M,21,,
305,Samir Ahmed Abdul Shakour,M,24,180,72
306,Nabil Abdul Tahlak,M,39,,
307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,23,,
308,Mohamed Abdul Wahab Al-Salah,M,21,,
309,Qazi Abdul Waheed,M,30,,
310,Patmawati Abdul Wahid,F,32,158,58
311,Haidar Abdul-Amir Hassan,M,21,185,80
312,Haidar Abdul-Razzaq Hassan,M,22,175,75
313,Lawal Kolawole Kola Abdulai,M,21,172,66
314,Rukayatu Ruky Abdulai,F,22,180,59
315,Mona Ahmad Abdulaziz Hassanein,F,26,166,61
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62
317,Roosevelt M. Abdulgafur,M,24,181,73
318,Ahmed Abdulkareem Ahmed,M,20,,
319,Gamal Ahmed Abdulla,M,28,,
320,Mohamed Sayed Abdulla,M,18,,
321,Ahmad Hassan Abdullah,M,27,164,55
322,Ahmed Ghanim Abdullah,M,20,184,79
323,Aquil Hashim Abdullah (Shumate-),M,31,187,83
324,Atallah Abdullah,M,32,,88
325,Magdy Ahmed Abdullah,M,25,,
326,Mohamed Abdullah,M,,176,66
327,Mohamed Samy Abdullah,M,,165,65
328,Mohamed Abdullah,M,,180,76
329,Osama Abdullah,M,21,,
330,Tewfik Abdullah,M,23,,
331,Wan Azlan Abdullah,M,21,188,77
332,Zarinah Abdullah,F,21,,
333,Abdel Wahab Abdullah Salih,M,,190,75
334,Abubakar Sadiq Abdullahi,M,28,,
335,Abdulqdir Abdullayev,M,28,188,91
336,Arif Yadulla Abdullayev,M,27,164,60
337,Mukhammad Kadyr Abdullayev,M,22,169,63
338,Muminzhon Abdullayev,M,22,190,130
339,Namiq Yadulla Abdullayev,M,25,167,55
340,Laye Abdullayeva,F,21,170,47
341,lqar Abdulov,M,27,175,74
342,Abdullah Abdulrahman Zeyab,M,16,177,
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,16,162,72
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23,168,68
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20,168,62
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,15,170,59
347,Najim Abdulrazak Al-Enazy,M,18,150,60
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19,181,66
349,Waheed Abdulridha Waheed Karaawi,M,33,178,74
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,21,162,69
351,Julius Shareef Abdur-Rahim,M,23,202,104
352,Sherzod Abdurahmonov,M,22,178,73
353,Rasul Abduraim,M,19,183,74
354,Bekzod Makhamadzhonovich Abdurakhmonov,M,26,172,74
355,Mukhamadmurod Abdurakhmonov,M,29,192,117
356,Adlan Aliyevich Abdurashidov,M,26,172,60
357,Yusup Abdusalomov,M,26,170,84
358,Fawzi Abdussalam,M,,179,76
359,Andrey Khakimovich Abduvaliyev,M,26,190,125
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24,174,72
361,Aybek Abdymomunov,M,18,162,54
362,Isao Ko Abe,M,24,177,75
363,Kazumi Abe,M,24,178,67
364,Kazuo Abe,M,25,166,69
365,Kinya Abe,M,23,168,68
366,Kiyoshi Abe,M,25,167,62
367,Masashi Abe,M,22,175,64
368,Naoki Abe,M,23,173,68
369,Osamu Abe,M,22,,
370,Shigeaki Abe,M,24,178,70
371,Shinnosuke Abe,M,21,179,91
372,Sanshiro Sonny Abe,M,26,166,57
373,Tadashi Abe,M,21,190,80
374,Tadatoshi Abe,M,28,170,60
375,Wakako Abe,F,18,168,60
376,Yoshiyuki Abe,M,31,175,67
377,Yuki Abe,M,22,177,75
378,Angelik Abebame,F,,,
379,Addis Abebe,M,21,160,50
380,Biruk Abebe,M,22,173,62
381,Benaissa Abed,M,23,170,51
382,Soha Abed Elaal,F,35,,
383,Mojtaba Abedini Shormasti,M,27,180,83
384,Thophile Abega Mbida,M,30,,
385,Max Xam Abegglen,M,22,,
386,Alexandre Abeid,M,22,194,92
387,Sonia Abejn Esteban,F,19,169,48
388,Abel Carlos da Silva Braga,M,19,190,73
389,Adolf Gaston Abel,M,45,,
390,Brooke Abel,F,20,163,52
391,Clarence John Abel,M,23,185,102
392,George Gordon Abel,M,35,,
393,Gnther Abel,M,19,183,80
394,Irene Abel,F,19,160,48
395,Jennifer Abel,F,16,160,62
396,Katja Abel,F,25,165,55
397,Mara Abel Diguez,F,25,163,46
398,Roger Abel,M,24,,
400,Yaritza Abel Rojas,F,28,,62
401,Abelardo Fernndez Antua,M,22,,
402,Arthur Abele,M,22,184,85
403,Ruth Abeles,F,18,153,48
404,Louis Grenville Lou Abell,M,15,,
405,Jos Javier Abella Fanjul,M,22,176,66
406,Ramn Neptuno Abella Caside,M,26,,
407,Ral Daniel Abella,M,26,,
408,Alfonso Abelln Lpez,M,37,174,63
409,Juan Luis Abelln Pallahi,M,19,,
410,Edwige Marie Abna Fouda,F,23,173,61
411,Gezahgne Abera,M,22,166,58
412,Tesfaye Abera Dibaba,M,24,192,68
413,Hugo Ral Aberastegui,M,27,186,84
414,Arvid berg,M,26,,
415,Bjrn Olof Conny berg,M,23,181,76
416,Nils Georg berg,M,19,181,78
417,Sara Helena berg,F,17,190,73
418,Karl Konrad berg,M,22,,
419,Majken berg,F,30,170,60
420,Olof Viktor Olle berg,M,27,181,78
421,Mohamed Aberhoune,M,23,187,75
422,Julianne Anne Abernathy,F,34,165,75
423,Michael Brent Abernathy,M,22,182,84
424,Moira Abernethy (-Ford),F,17,,
425,Salim Abes,M,25,,
426,Edme Abetel (-Barr),F,29,,
427,Pasqualino Abeti,M,24,173,66
428,Elvan Abeylegesse,F,21,159,40
429,Ruwani Abeymanne,F,30,160,53
430,Matthew Duncan Abeysinghe,M,20,180,74
431,Narek Abgaryan,M,24,166,52
432,Koutoua Francis Abia,M,26,180,80
433,Pablo Abin Vicen,M,23,177,68
434,David Abibssira,M,21,179,63
435,Silke Abicht,F,19,156,46
436,Haithem Abid,M,22,179,72
437,Younis Abid Sadkhan,M,18,,
438,Jaiye Abidoye,M,30,,
439,Sagat Abikeyeva,F,27,160,78
440,Mitsuhiro Abiko,M,19,169,62
441,Tomomi Abiko,F,24,173,53
442,Catherine Kate Abilla Awino,F,27,162,56
443,Ismail Abilov (-Nizamolu),M,25,172,82
444,Camille Anne Franoise Abily,F,27,168,60
445,Endurance Abinuwa,F,24,159,54
446,Bode Abiodun,M,35,170,68
447,Firmin Abissi,M,28,159,54
448,Sarah Abitbol,F,22,150,43
449,Inga Eduardovna Abitova,F,26,164,58
450,Ceyhun Abiyev,M,29,163,48
451,Diana Monteiro Abla,F,21,175,75
452,Enver Nazymovych Ablaiev,M,22,169,68
453,Leslie Ablett,M,24,,
454,Edgar Allen Ed Ablowich,M,19,182,68
455,Denis Mikhaylovich Ablyazin,M,19,161,62
456,Karin Abma,F,24,174,62
457,Thorine Christelle Aboa Mbeza,F,23,182,78
458,Felix Ahmed Aboagye,M,20,176,70
459,Bukola Dammy Abogunloko,F,17,170,53
460,Viktor Andreyevich Aboimov,M,22,190,78
461,Mohamed Aboker,M,26,175,61
462,Ilze bola,F,19,169,60
463,Agnese boltia,F,17,166,60
464,Abdul Razzak Aboobakur,M,25,168,59
465,Matthew Matt Abood,M,30,197,92
466,Piroska Abos Gvorgyzakab,F,25,,
467,Jean-Pierre Abossolo-Ze,M,27,,
468,Abdelhalim Muhammad Abou,M,27,210,88
469,Tarek Abou Al Dahab,M,28,170,64
470,Bachir Hani Abou Assi,M,24,175,74
471,Ashraf Abou El-Hassan,M,25,186,86
472,Galal El-Din Abdel Meguid Abou El-Kheir,M,24,,
473,Magdy Abou El-Magd,M,27,188,85
474,Essameldin Abou El-Nein,M,29,205,102
475,Abdel Khlik Abou El-Yazi,M,26,,
476,Mohamed Moustafa Abou Elea,M,20,168,54
477,Mahmoud Abou Elelaa,M,30,181,76
478,Mohammed Tawfiq Abou Habaga,M,27,,
479,Zaid Abou Hamed,M,30,182,79
480,Youssef Kamel Mohamed Abou Ouf,M,24,,
481,Gaber Mooti Abou Zeid,M,22,187,82
482,Taher Abou Zeid Sayid Amer,M,22,,
483,Ahmed Farid Abou-Shadi,M,38,,
484,Abdel Fattah Abou-Shanab,M,24,,
485,Sadoon Mohamed Aboub,M,21,170,48
486,Zakaria Aboub,M,20,171,65
487,Inni Aboubacar,M,,,
488,Ibrahim Mohamedin Aboubaker,M,21,190,65
489,Ahmed Ghmin Aboud,M,22,170,51
490,Fathi Khalifa Aboud,M,23,175,75
491,Kamel Aboud,M,22,178,67
492,Marwan Suhail Aboud,M,,,
493,Rabah Aboud,M,31,180,64
494,Mamdouh Taha Al-Husseini Abouebaid,M,28,183,85
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87
496,Haysam Farouk Abouelw,M,21,,
497,Waguih Rauf Aboul Seoud,M,22,,
498,El-Sayed Aboumedan,M,26,178,81
499,Dany Abounaoum,M,22,,
500,Sdonoud Janvier Abouta,M,23,,
501,Mohamed Mohamed Mohamed Aboutrika,M,33,182,77
502,Ahmad Shah Abouwi,M,,,
503,Adeola Aboyade-Cole,M,22,193,78
504,Cheryl Abplanalp,F,24,174,68
505,Alexander Alex Abraham (Steglitz),M,25,186,84
506,Andrei Abraham,M,19,,
507,Attila brahm,M,21,192,88
508,Bernhard Abraham,M,,,
509,Gary Abraham,M,17,175,64
510,Melita Isidora Abraham Schssler,F,19,170,62
511,Tadesse Abraham,M,33,178,61
512,Shiny Kurisingal Abraham-Wilson,F,19,167,53
513,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21,180,70
514,Ara Abrahamian,M,25,191,84
515,Stphan Abrahamian Gonzalez,M,22,,
516,Clyde Abrahams,M,29,178,68
517,Glen Abrahams Martnez,M,22,179,72
518,Guy A. Abrahams,M,23,173,65
519,Harold Maurice Abrahams,M,20,183,75
520,Sidney Solomon Abrahams,M,21,,
521,Isak Abrahamsen,M,21,,
522,Knut Leo Abrahamsen,M,25,,
523,Trond Sevg Abrahamsen,M,19,183,87
524,Donald Robert Abrahamson Jr.,M,26,162,67
525,Richard Neal Abrahamson,M,24,190,88
526,Kurt Christer Abrahamsson (-Abris),M,24,187,77
527,Erik Adolf Efraim Abrahamsson,M,22,172,61
528,Karl Gran Abrahamsson,M,28,180,72
529,Karl Gustaf Emanuel Abrahamsson,M,31,,
530,Ulf Thommy Abrahamsson,M,24,185,81
531,Fletcher Abram Jr.,M,21,193,87
532,Iason Abramashvili,M,17,176,82
533,Yelena Vasilyevna Abramchuk (Kopets-),F,28,182,95
534,Oleksandr Volodymyrovych Abramenko,M,17,180,82
535,Yevgeny Sergeyevich Abramenko,M,22,181,80
536,Lahcen Abrami,M,22,,
537,Ekaterina Abramia,F,16,167,43
538,Jernej Abrami,M,31,175,70
539,Levan Abramishvili,M,23,181,84
540,Andrey Vasilyevich Abramov,M,24,180,100
541,Andrey Viktorovich Abramov,M,24,176,70
542,Nikolay Kuzmich Abramov,M,30,164,59
543,Pavel Sergeyevich Abramov,M,25,198,89
544,Sergey Mikhaylovich Abramov,M,34,180,94
545,Valery Aleksandrovich Abramov,M,23,173,61
546,Inna Vladimirovna Abramova,F,21,172,63
547,Nelli Mikhaylovna Abramova,F,24,171,60
548,Yekaterina Konstantinovna Abramova,F,23,167,65
549,Alen Abramovi,M,29,180,72
550,Dmitry Vladimirovich Abramovich,M,27,182,96
551,Aliyah Abrams,F,19,163,53
552,Colin Winston Abrams,M,32,180,70
553,John Charles Abrams,M,22,183,
554,Benik Abramyan,M,31,186,115
555,Antnio da Cunha Meneses Martins Abrantes,M,20,176,68
556,Arnaldo Lus Isaas Abrantes,M,21,183,72
557,Arnaldo Joaquim Castro Abrantes,M,26,174,68
558,David Abrard,M,19,187,81
559,Tsvetelina Abrasheva,F,16,,
560,Amir Abrashi,M,22,172,70
561,Thomas Abratis,M,26,184,73
562,Pawe Abratkiewicz,M,21,183,84
563,Diogo Ferreira Tribolet de Abreu,M,22,183,73
564,Eloy Abreu Morales,M,20,160,54
565,Glauclio Serro Abreu,M,26,185,75
566,Jos Filipe Abreu,M,20,159,64
567,Emilio Julio Abreu,M,22,,
568,Morais Santos Abreu,M,40,188,73
569,Paulo Francisco Joazeiro de Abreu,M,18,176,78
570,Pedro Abreu Pascal,M,23,200,88
571,Rubn Abreu Rivero,M,24,177,71
572,Rui Pinto de Abreu,M,15,177,64
573,Franck Abrial,M,24,174,68
574,rika Abril Surez,F,34,164,52
575,Laura Valentina Abril Restrepo,F,22,162,50
576,Alejandro lex Abrines Redondo,M,23,198,93
577,Knut Richard brink,M,23,,
578,Bourhan Abro,M,21,180,70
579,Anastasiya Aleksandrovna Abrosimova,F,26,164,51
580,Svetlana Olegovna Abrosimova,F,20,188,77
581,Elisabeta Abrudeanu,F,26,,
582,Saypulla Atavovich Absaidov,M,22,168,68
583,Julien Absalon,M,23,180,68
584,Ayele Abshero Biza,M,21,168,62
585,Brian Kenneth Abshire,M,24,180,59
586,Tobias Abstreiter,M,31,178,85
587,Gudrun Maria Abt,F,26,178,61
588,Aleksandr Viktorovich Sasha Abt,M,25,179,68
589,Najmeh Abtin,F,25,160,57
590,Mohamed Abu Abdullah,M,27,173,74
591,Abdul Wahab Abu Al-Hail Labid,M,27,180,79
592,Mohamed Ahmed Abu Ali,M,19,,
593,Methkal Marouf Abu Drais,M,28,168,67
594,Lailin Abu Hassan,M,22,,
595,Majed Abu Maraheel,M,33,180,76
596,Maher Abu Rmilah,M,28,172,72
597,Mohamed Ahmed Abu Sobea,M,,,
598,Omar Abu-Fares,M,16,178,69
599,Bektas Abubakirov,M,23,165,54
600,Nagmeldin Ali Abubakr,M,18,172,63
601,Sanna Abubkheet,F,19,157,52
602,Abudoureheman,M,22,182,75
603,Juma Abudu,M,24,170,59
604,Folashade Shade Abugan,F,17,150,64
605,Fernando J. Abugattas Aboino,M,20,190,80
606,Roberto Abugattas Aboino,M,21,182,77
607,Hamza Abughalia,M,23,,85
608,Ahmad Abughaush,M,20,178,68
609,Fartun Abukar Omar,F,18,170,58
610,Ginko Abukawa-Chiba,F,22,148,46
611,Mohammed Abukhousa,M,23,170,67
